state,registrationDeadlineType,dateType,edRelation,time,laws,updateLegal,updateNotes,
Alabama,Overseas Ballot Request Deadline,Blank,ED - 5,,"-(a) Any qualified elector of this state may apply for and vote an absentee ballot by mail or by hand delivery, as provided in Sections 17-11-5 and 17-11-9, in any primary, general, special, or municipal election, if he or she makes application in writing therefor not less than five days prior to the election in which he or she desires to vote.(Section 17-11-3)",Same,,
Alabama,Overseas Ballot Request Deadline,Received by,ED - 5,,,Same,,
Alabama,Overseas Registration Deadline,Blank,ED - 15,,"The boards of registrars in the several counties of the state shall not register any person as a qualified elector within 14 days prior to any election; provided, that the boards shall maintain open offices during business days in such 14-day period and on election day during the hours of voting.(Section 17-3-50)",Same,,
Alaska,In-Person Absentee Voting From,Blank,ED - 15,,-(a) A qualified voter may apply in person for an absentee ballot to the following election officials at the times specified: (1) to an absentee voting official on or after the 15th day before an election up to and including the date of the election;(Sec. 15.20.061),Same,,
Alaska,In-Person Absentee Voting To,Blank,ED,,-(a) A qualified voter may apply in person for an absentee ballot to the following election officials at the times specified: (1) to an absentee voting official on or after the 15th day before an election up to and including the date of the election;(Sec. 15.20.061),Same,,
Alaska,Domestic Ballot Return Deadline,Postmarked by,ED,,e) An absentee ballot must be marked on or before the date of the election.,Same,,
Alaska,Domestic Ballot Return Deadline,Online by,ED,8:00 PM,,Same,,
Alaska,Domestic Ballot Return Deadline,Received by,ED + 10,,"e)Except as provided in (h) of this section, a voter who returns the absentee ballot by mail, whether provided to the voter by mail or by electronic transmission, shall use a mail service at least equal to first class and mail the ballot not later than the day of the election to the election supervisor for the house district in which the voter seeks to vote. Except as provided in AS 15.20.480 , the ballot may not be counted unless it is received by the close of business on the 10th day after the election. If the ballot is postmarked, it must be postmarked on or before election day. After the day of the election, ballots may not be accepted unless received by mail.(Sec. 15.20.081)",Same,,
Alaska,Domestic Ballot Return Deadline,Post Received by,ED + 10,,,Same,,
Alaska,Domestic Ballot Request Deadline,Blank,ED -10,,,Same,,
Alaska,Domestic Ballot Request Deadline,Received by,ED - 10,,,Same,,
Alaska,Domestic Ballot Request Deadline,Request for Postal Ballot by,ED - 10,,(b) An application requesting delivery of an absentee ballot to the applicant by mail must be received by the division of elections not less than 10 days before the election for which the absentee ballot is sought. An application for an absentee ballot for a state election from a qualified voter requesting delivery of an absentee ballot to the applicant by electronic transmission must be received by the division of elections not later than 5:00 p.m. Alaska time on the day before the election for which the absentee ballot is sought.(Sec. 15.20.081),Same,,
Alaska,Domestic Ballot Request Deadline,Request for Online or Fax Ballot by,ED - 1,5:00 PM,"e) Except as provided in (h) of this section, a voter who returns the absentee ballot by mail, whether provided to the voter by mail or by electronic transmission, shall use a mail service at least equal to first class and mail the ballot not later than the day of the election to the election supervisor for the house district in which the voter seeks to vote. Except as provided in AS 15.20.480 , the ballot may not be counted unless it is received by the close of business on the 10th day after the election. If the ballot is postmarked, it must be postmarked on or before election day. After the day of the election, ballots may not be accepted unless received by mail.(Sec. 15.20.081)",Same,,
Alaska,Domestic Ballot Request Deadline,Electronic transmission,ED,,-(a) The director shall adopt regulations applicable to the delivery of absentee ballots by electronic transmission in a state election and to the use of electronic transmission absentee voting in a state election by qualified voters. The regulations must (1) require the voter to comply with the same time deadlines as for voting in person on or before the closing hour of the polls;(Sec. 15.20.066),Same,,
Alaska,Domestic Registration Deadline,Blank/Received by,ED - 30,,"-(c) The names of persons submitting completed registration forms by mail that are postmarked at least 30 days before the next election, or submitting completed registration forms by facsimile or other electronic transmission approved by the director under AS 15.07.050 that are received at least 30 days before the next election, shall be placed on the official registration list for that election. If a registration form received by mail less than 30 days before an election does not have a legible and dated postmark, the name of the person submitting the form shall be placed on the official registration list for that election if the form was signed and dated by the person at least 30 days before the election and if the form is received by the director or election supervisor at least 25 days before the election.(Sec. 15.07.070)",Same,,
Alaska,Domestic Registration Deadline,Online by,ED - 30,,,Same,,
Alaska,Domestic Registration Deadline,In-Person Received by,ED - 30,,"(d) Qualified voters may register in person before a registration official or through a voter registration agency at any time throughout the year, except that a person registering within 30 days preceding an election is not eligible to vote at that election. (Sec. 15.07.070)",Same,,
Alaska,Domestic Registration Deadline,Postmarked by,ED - 30,,,Same,,
Alaska,Domestic Registration Deadline,Email or Fax by,ED - 30,5:00 PM,,Same,,
Alaska,Early Voting From,Blank,ED - 15,,"-(a) For 15 days before an election and on election day, a qualified voter who meets the requirements set out in this section may vote in locations designated by the director.(Sec. 15.20.064)",Same,,
Alaska,Early Voting To,Blank,ED,,"-(a) For 15 days before an election and on election day, a qualified voter who meets the requirements set out in this section may vote in locations designated by the director.(Sec. 15.20.064)",Same,,
Alaska,Overseas Ballot Return Deadline,Online by,ED,8:00 PM,,Same,,
Alaska,Overseas Ballot Return Deadline,Postmarked by,ED,,"(h) Except as provided in AS 15.20.480 , an absentee ballot returned by mail from outside the United States or from an overseas voter qualifying under AS 15.05.011 that has been marked and mailed not later than election day may not be counted unless the ballot is received by the election supervisor not later than the close of business on the (1) 10th day following a primary election or special election under AS 15.40.140 (Sec. 15.20.081)",Same,,
Alaska,Overseas Ballot Return Deadline,Fax by,ED,,,Same,,
Alaska,Overseas Ballot Request Deadline,Received by,ED + 10,,"(h) Except as provided in AS 15.20.480 , an absentee ballot returned by mail from outside the United States or from an overseas voter qualifying under AS 15.05.011 that has been marked and mailed not later than election day may not be counted unless the ballot is received by the election supervisor not later than the close of business on the (1) 10th day following a primary election or special election under AS 15.40.140 (Sec. 15.20.081)",Same,,
Alaska,Overseas Ballot Request Deadline,Request for Postal Ballot by,ED - 10,,,Same; see §15.20.081 (b),,
Alaska,Overseas Ballot Request Deadline,"Request for Email, Online, Fax Ballot by",ED - 1,5:00 PM,,Same; see §15.20.081(b),,
Alaska,Overseas Registration Deadline,Postmarked by,ED - 30,,,Same; see §15.07.070(c),,
Alaska,Overseas Registration Deadline,Email or Fax by,ED - 30,,,Same; see §15.07.070(c),,
Arizona,Domestic Ballot Return Deadline,Received by,ED,,,Same,,
Arizona,Domestic Ballot Return Deadline,Recommended by,ED - 7,,,,this is just a state recommendation,
Arizona,Domestic Ballot Request Deadline,Received by,ED - 11,5:00 PM,"E. In order to be complete and correct and to receive an early ballot by mail, an elector's request that an early ballot be mailed to the elector's residence or temporary address must include all of the information prescribed by subsection A of this section and must be received by the county recorder or other officer in charge of elections no later than 5:00 p.m. on the eleventh day preceding the election.(16-542)",Same,,
Arizona,Domestic Registration Deadline,In-Person Received by,ED - 29,,"A. An elector shall not vote in an election called pursuant to the laws of this state unless the elector has been registered to vote as a resident within the boundaries or the proposed boundaries of the election district for which the election is being conducted and the registration has been received by the county recorder or the recorder's designee pursuant to section 16-134 before midnight of the twenty-ninth day preceding the date of the election.
B. If the twenty-ninth day preceding the date of the election falls on a Saturday, Sunday or other legal holiday, voter registrations that are received on the next business day immediately following the Saturday, Sunday or other legal holiday are deemed to have been timely received for purposes of voting in that election. (16-120)",Same,,
Arizona,Domestic Registration Deadline,Online by,ED - 29,,,,,
Arizona,Domestic Registration Deadline,Postmarked by,ED - 29,,,,,
Arizona,Early Voting From,Blank,"ED - 27 to ED - 24, varies",,"C. The county recorder or other officer in charge of elections shall mail the early ballot and the envelope for its return postage prepaid to the address provided by the requesting elector within five days after receipt of the official early ballots from the officer charged by law with the duty of preparing ballots pursuant to section 16-545, except that early ballot distribution shall not begin more than twenty-seven days before the election. If an early ballot request is received on or before the thirty-first day before the election, the early ballot shall be distributed not earlier than the twenty-seventh day before the election and not later than the twenty-fourth day before the election.(16-542)",Same,,
Arizona,Early Voting To,Blank,ED,7:00 PM,"A. The early voter shall make and sign the affidavit and shall then mark his ballot in such a manner that his vote cannot be seen.  The early voter shall fold the ballot, if a paper ballot, so as to conceal the vote and deposit the voted ballot in the envelope provided for that purpose, which shall be securely sealed and, together with the affidavit, delivered or mailed to the county recorder or other officer in charge of elections of the political subdivision in which the elector is registered or deposited by the voter or the voter's agent at any polling place in the county.  In order to be counted and valid, the ballot must be received by the county recorder or other officer in charge of elections or deposited at any polling place in the county no later than 7:00 p.m. on election day.(16-548.)",Same; can be returned until 7pm election night.,,
Arizona,Overseas Ballot Return Deadline,Received by,ED,7:00 PM,,Same,,
Arizona,Overseas Ballot Request Deadline,Received by,ED,7:00 PM,"-A. An overseas voter as defined in the uniformed and overseas citizens absentee voting act of 1986 (P.L. 99-410; 42 United States Code section 1973ff-6), as amended by the Ronald W. Reagan national defense authorization act for fiscal year 2005 (P.L. 108-375), who is absent from the place of residence in this state where the voter is otherwise qualified to vote may use a federal write-in early ballot in a primary, general or special election for the offices of presidential elector and United States senator and representative in Congress if the voter applies for an early ballot by 7:00 p.m. on election day and does not receive that early ballot.(16-543.02)",Same; may be worth making a note that this request and return is strictly electronic.,,
Arizona,Overseas Registration Deadline,Received by,ED,7:00 PM,"C. In the case of registration by mail, a voter registration is valid for an election if it complies with either of the following:1. The form is postmarked twenty-nine days or more before an election and is received by the county recorder by 7:00 p.m. on the day of that election. 2. The registration is dated twenty-nine days or more before an election and is received by the county recorder by first class mail within five days after the last day to register to vote in that election. (16-134.)",See § 16-103(d). I think it must be received by 5pm on the Friday before Election Day. ,"16-103(d) says UOCAVA voters have ED 7PM deadline unless recently discharged, in which case registration is 5pm friday before (received), but still postmarked ED-29, so we're basically right on this",
Arkansas,Domestic Ballot Return Deadline,Post Received by,ED,7:30 PM,By delivery of the ballot by mail that must be received in the office of the county clerk of the county of residence of the voter not later than 7:30 p.m. on election day.(7-5-411),Same,,
Arkansas,Domestic Ballot Return Deadline,In-Person Received by,ED - 1,,,,,
Arkansas,Domestic Ballot Return Deadline,delivered by proxy,ED,7:30 PM,,"See §7-5-411(2) - if medically unable to vote at polling site, and with proof, an authorized agent can drop ballot off by 7:30PM on election day.                                                                                         See §7-5-411(3) and (4) - must be delivered by COB on Friday before election day if delivered by the voter or voter's designated bearer/administrator.",,
Arkansas,Domestic Ballot Request Deadline,Post Received by,ED - 7,,(3) (A) (ii)  Applications by mail must be received in the office of the county clerk of the county of residence of the voter not later than seven (7) days before the election for which the application was made;( 7-5-404),Same,,
Arkansas,Domestic Ballot Request Deadline,In-Person Received by,friday before ED,,-(3) (A) (i) In person at the office of the county clerk of the county of residence of the voter no later than the time the county clerk's office regularly closes on the day before election day( 7-5-404),See §7-5-404(A)(i) - must be made by Friday before election day,"this is the correct law but it doesn't say friday anywhere, it says last day open before election day",
Arkansas,Domestic Ballot Request Deadline,Designated bearer Administrator,friday before ED,,"(3) (A (iii)  A designated bearer may deliver the completed application to the office of the county clerk of the county of residence of the applicant not later than the time the county clerk's office regularly closes on the day before the day of the election;
(iv)  A person declared as the authorized agent of the applicant may deliver the application to the office of the county clerk of the county of residence of the applicant not later than 1:30 p.m. on the day of the election;
(v)  An administrator may deliver the application in person at the office of the county clerk of the county of residence of the voter no later than the time the county clerk's office regularly closes on the day before election day; ( 7-5-404)",See §7-5-404(A)(iii) - Friday before election day,,
Arkansas,Domestic Ballot Request Deadline,Email by,ED - 7,,,Same,,
Arkansas,Domestic Registration Deadline,Blank,ED - 30,,"(a) To be qualified to vote, a person shall have registered at least thirty (30) calendar days immediately prior to the election and in the manner set forth by Arkansas Constitution, Amendment 51.(7-5-201)",Same,,
Arkansas,Domestic Registration Deadline,Postmarked by,ED - 30,,,Same,,
Arkansas,Domestic Registration Deadline,In-Person Received by,ED - 30,,,Same,,
Arkansas,Early Voting From,Blank,ED - 15,8:00 AM,"(a) (1) (A) Except as provided in subdivision (a)(1)(B) of this section, early voting shall be available to any qualified elector who applies to the county clerk's designated early voting location, beginning fifteen (15) days before a preferential primary or general election between the hours of 8:00 a.m. and 6:00 p.m. Monday through Friday and 10:00 a.m. and 4:00 p.m. Saturday and ending at 5:00 p.m. on the Monday before the election (7-5-418)",Same,,
Arkansas,Early Voting To,Blank,Mon before ED,5:00 PM,"(a) (1) (A) Except as provided in subdivision (a)(1)(B) of this section, early voting shall be available to any qualified elector who applies to the county clerk's designated early voting location, beginning fifteen (15) days before a preferential primary or general election between the hours of 8:00 a.m. and 6:00 p.m. Monday through Friday and 10:00 a.m. and 4:00 p.m. Saturday and ending at 5:00 p.m. on the Monday before the election (7-5-418)",Same,,
Arkansas,Overseas Ballot Return Deadline,Received by,ED + 10,5:00 PM,"""(i)  However, except as provided in subdivision (a)(1)(B)(ii) of this section, by ballots applied for not later than thirty (30) days before the election by qualified electors outside the United States on election day that are signed, dated, postmarked, and mailed by the voters no later than the day of the election and received by the county clerk no later than 5:00 p.m. ten (10) calendar days after the date of the election.
(ii)  The absentee ballots of armed services personnel serving in active status shall be counted if received by the county clerk no later than 5:00 p.m. ten (10) calendar days after the date of the election and if the absentee ballots were executed no later than the date of the election.(7-5-411)""",Same,,
Arkansas,Overseas Ballot Return Deadline,Postmarked by,ED,,,Same,,
Arkansas,Overseas Ballot Request Deadline,Received by,ED - 7,,"""(c)  The following may request an absentee ballot for one (1) or more elections, up to and including the next regularly scheduled general election for federal office, including without limitation any runoff elections that may occur as a result of the outcome of the general elections, by submitting one (1) application during that period of time in the manner provided under subsection (a) of this section:
(1)  A citizen of the United States temporarily residing outside the territorial limits of the United States;
(2)  A member of the uniformed services of the United States while in active duty or service, including his or her spouse or dependent, who by reason of active duty or service of the member is absent from the place of residence where the member, spouse, or dependent is otherwise qualified to vote; and
(3)  A member of the United States Merchant Marine while in active duty or service, including his or her spouse or dependent, who by reason of the active duty or service of the member is absent from the place of residence where the member, spouse, or dependent is otherwise qualified to vote. (7-5-404)""",Same,,
Arkansas,Overseas Registration Deadline,Postmarked by, ED - 30,,"(a) To be qualified to vote, a person shall have registered at least thirty (30) calendar days immediately prior to the election and in the manner set forth by Arkansas Constitution, Amendment 51.(7-5-201)",Same,,
California,Domestic Ballot Return Deadline,Post Received by/Received by,ED + 3,,"(a) All vote by mail ballots cast under this division shall be received by the elections official from whom they were obtained or by the precinct board no later than the close of the polls on election day.
(b) Notwithstanding subdivision (a), any vote by mail ballot cast under this division shall be timely cast if it is received by the voter’s elections official via the United States Postal Service or a bona fide private mail delivery company no later than three days after election day and either of the following is satisfied:
(1) The ballot is postmarked on or before election day or is time stamped or date stamped by a bona fide private mail delivery company on or before election day(3020)",Same,,
California,Domestic Ballot Return Deadline,Hand Delivered by,ED,8:00 PM,,Same,,
California,Domestic Ballot Return Deadline,Postmarked by,ED,,"""(a) All vote by mail ballots cast under this division shall be received by the elections official from whom they were obtained or by the precinct board no later than the close of the polls on election day.
(b) Notwithstanding subdivision (a), any vote by mail ballot cast under this division shall be timely cast if it is received by the voter’s elections official via the United States Postal Service or a bona fide private mail delivery company no later than three days after election day and either of the following is satisfied:
(1) The ballot is postmarked on or before election day or is time stamped or date stamped by a bona fide private mail delivery company on or before election day(3020)""",Same,,
California,Domestic Ballot Request Deadline,Blank,ED - 7,,"Except as provided in Chapter 3 (commencing with Section 3200) and Sections 3007.5, 3007.7, and 3007.8, application for a vote by mail voter’s ballot shall be made in writing to the elections official having jurisdiction over the election between the 29th and the 7th day prior to the election. The application shall be signed by the applicant and shall show his or her place of residence. Any applications received by the elections official prior to the 29th day shall be kept and processed during the application period (3001)",Same,,
California,Domestic Ballot Request Deadline,Received by,ED - 7,,(a) A printed application that is to be distributed to a voter for requesting a vote by mail voter’s ballot shall inform the voter that the application for the vote by mail voter’s ballot must be received by the elections official not later than seven days prior to the date of the election. (3006),Same,,
California,Domestic Registration Deadline,Blank,ED - 15,,,Same,,
California,Domestic Registration Deadline,Received by,ED - 15,,"-(a) Except as provided in Chapter 4.5, a person shall not be registered as a voter except by affidavit of registration. The affidavit of registration shall be mailed or delivered to the county elections official and shall set forth all of the facts required to be shown by this chapter. A properly executed affidavit of registration shall be deemed effective upon receipt of the affidavit by the county elections official if received on or before the 15th day before an election to be held in the registrant’s precinct ( 2102)",Same,,
California,Domestic Registration Deadline,Online by,ED - 15,11:59 PM,(4) The affidavit is submitted electronically on the Internet Web site of the Secretary of State pursuant to Section 2196 on or before the 15th day before the election.( 2102),Same,,
California,Domestic Registration Deadline,Postmarked by,ED - 15,11:59 PM,(1) The affidavit is postmarked on or before the 15th day before the election and received by mail by the county elections official.(  2102),Same,,
California,Early Voting From,Varies by Locality,ED - 29,,"Except as provided in Chapter 3 (commencing with Section 3200) and Sections 3007.5, 3007.7, and 3007.8, application for a vote by mail voter’s ballot shall be made in writing to the elections official having jurisdiction over the election between the 29th and the 7th day prior to the election. The application shall be signed by the applicant and shall show his or her place of residence. Any applications received by the elections official prior to the 29th day shall be kept and processed during the application period.(3001)","Same, still varies",,
California,Early Voting To,Contact Local Election Office,,,,"Same, still varies",,
California,Overseas Ballot Return Deadline,Received by,ED + 3,,"""(a) All vote by mail ballots cast under this division shall be received by the elections official from whom they were obtained or by the precinct board no later than the close of the polls on election day.
(b) Notwithstanding subdivision (a), any vote by mail ballot cast under this division shall be timely cast if it is received by the voter’s elections official via the United States Postal Service or a bona fide private mail delivery company no later than three days after election day and either of the following is satisfied:
(1) The ballot is postmarked on or before election day or is time stamped or date stamped by a bona fide private mail delivery company on or before election day(3020)""",Same,,
California,Overseas Ballot Return Deadline,Postmarked by,ED,,"""(a) All vote by mail ballots cast under this division shall be received by the elections official from whom they were obtained or by the precinct board no later than the close of the polls on election day.
(b) Notwithstanding subdivision (a), any vote by mail ballot cast under this division shall be timely cast if it is received by the voter’s elections official via the United States Postal Service or a bona fide private mail delivery company no later than three days after election day and either of the following is satisfied:
(1) The ballot is postmarked on or before election day or is time stamped or date stamped by a bona fide private mail delivery company on or before election day(3020)""",Same,,
California,Overseas Ballot Return Deadline,Post Received by,ED + 3,,,Same,,
California,Overseas Ballot Return Deadline,Fax by,ED,,,Same,,
California,Overseas Ballot Request Deadline,Blank,ED - 7,,,Same,,
California,Overseas Ballot Request Deadline,Received by,ED - 7,,(e) An application made pursuant to this section shall be received by the elections official having jurisdiction over the election no later than seven days prior to the date of the election if the application is made solely as an application for a vote by mail ballot. An application made pursuant to this section and deemed to be an affidavit of registration shall be effective only if it is postmarked on or before the 15th day prior to the election.(3102),Same,,
California,Overseas Registration Deadline,Blank,ED - 15,,,Same,,
California,Overseas Registration Deadline,Postmarked by,ED - 15,,(e) An application made pursuant to this section shall be received by the elections official having jurisdiction over the election no later than seven days prior to the date of the election if the application is made solely as an application for a vote by mail ballot. An application made pursuant to this section and deemed to be an affidavit of registration shall be effective only if it is postmarked on or before the 15th day prior to the election.(3102),Same,,
California,Overseas Registration Deadline,Fax by,ED - 15,,,Same,,
California,Overseas Registration Deadline,Online by,ED - 15,,,Same,,
Colorado,Domestic Ballot Return Deadline,Blank,ED,7:00 PM,,Same - see §1-8.3-111,,
Colorado,Domestic Ballot Return Deadline,Received by,ED + 8 ,,,Same - see §1-8.3-113(2).,updated 23/6/2021,
Colorado,Domestic Ballot Request Deadline,All Mail,Not necessary,,"(1) For all general, primary, congressional vacancy, coordinated, odd-year, and recall elections, and for any election in which the governing body of a political subdivision other than a county determines that an election shall be by mail ballot, the county clerk and recorder or designated election official for the political subdivision, as applicable, shall conduct the election by mail ballot; except that votes cast at voter service and polling centers may be by paper ballots or by electronic or electromechanical voting systems.((2016 Colorado Revised Statutes, Title 1 - Elections General, Primary, Recall, and Congressional Vacancy Elections,Article 5 - Notice of and Preparation for Elections,Part 4 - Ballots § 1-5-401. Method of voting)",Same,,
Colorado,Domestic Registration Deadline,By Mail,ED - 8,,"(4) To receive a ballot by mail for an election conducted under this code, an elector must submit his or her voter registration application on or before the eighth day before the election. (1-2-201)",Same,,
Colorado,Domestic Registration Deadline,Online by,ED - 8,,"(1) For all general, primary, congressional vacancy, coordinated, odd-year, and recall elections, and for any election in which the governing body of a political subdivision other than a county determines that an election shall be by mail ballot, the county clerk and recorder or designated election official for the political subdivision, as applicable, shall conduct the election by mail ballot; except that votes cast at voter service and polling centers may be by paper ballots or by electronic or electromechanical voting systems. (2016 Colorado Revised Statutes, Title 1 - Elections General, Primary, Recall, and Congressional Vacancy Elections,Article 5 - Notice of and Preparation for Elections,Part 4 - Ballots § 1-5-401. Method of voting)",Same,,
Colorado,Domestic Registration Deadline,Election Day Registration and Voting,ED,,,Same,,
Colorado,Domestic Registration Deadline,In-Person by,ED,7:00 PM,"An elector may timely register to vote by (V)Appearing in-person at a voter service and polling center pursuant to section 1-2-217.7 at any time during which the voter service and polling center is open, including on election day. (1-2-201)",Same,,
Colorado,Domestic Registration Deadline,At a Registration Drive,ED - 22,,,"Same, see §1-2-201(3)(b)(i)",,
Colorado,Early Voting From,Blank,ED - 15 / can be earlier,,"(2) Voter service and polling centers must be open, at a minimum, for the fifteen-day period prior to and including the day of the election, except that voter service and polling centers are not required to be open on Sundays. (1-5-102.9)","Same, added 8am-5pm time frame; see §1-5-209(2)(a)(i)",,
Colorado,Early Voting To,Blank,ED,,"(2) Voter service and polling centers must be open, at a minimum, for the fifteen-day period prior to and including the day of the election, except that voter service and polling centers are not required to be open on Sundays.(1-5-102.9)",See above,,
Colorado,In-Person Absentee From,Blank,ED - 32,,,,,
Colorado,Overseas Ballot Return Deadline,Blank,ED,,"To be valid, a ballot shall be received by the appropriate local election official not later than the close of the polls, or the voter shall submit the ballot for mailing, electronic transmission, or other authorized means of delivery not later than 7:00 p.m. mountain time on the date of the election.(1-8.3-111)",Same,,
Colorado,Overseas Ballot Return Deadline,Received by,ED + 8,,(2) A valid ballot cast in accordance with section 1-8.3-111 shall be counted if it is received by the close of business on the eighth day after an election at the address that the appropriate state or local election office has specified.,"Same, see §1-8.3-113(2)",,
Colorado,Overseas Ballot Return Deadline,Postmarked by,ED,7:00 PM,,Same,,
Colorado,Overseas Ballot Return Deadline,Post Received by,ED + 8,,,Same,,
Colorado,Overseas Ballot Return Deadline,In-Mailstream by,ED,7:00 PM,,Same,,
Colorado,Overseas Registration Deadline,Received by,ED,7:00 PM,"An eligible elector can register to vote up to and on election day. But if you wish to receive the ballot by mail, the application must be received by the designated election official by the close of business on the seventh day before an election. Please keep in mind that if you would like to receive the ballot by mail, seven days may not be sufficient to receive, vote, and return your ballot.(Source: Secretary of State website)",Same,,
Colorado,Overseas Registration Deadline,Postmarked by,ED,,,Same,,
Colorado,Overseas Registration Deadline,Blank/Request ballot by mail,ED - 7,,"An eligible elector can register to vote up to and on election day. But if you wish to receive the ballot by mail, the application must be received by the designated election official by the close of business on the seventh day before an election. Please keep in mind that if you would like to receive the ballot by mail, seven days may not be sufficient to receive, vote, and return your ballot.(Source: Secretary of State website)",Same,,
Connecticut,Domestic Ballot Return Deadline,In-Person Received by,ED - 1,,"(a) An absentee ballot shall be cast at a primary, election or referendum only if: (1) It is mailed by (A) the ballot applicant, (B) a designee of a person who applies for an absentee ballot because of illness or physical disability, or (C) a member of the immediate family of an applicant who is a student, so that it is received by the clerk of the municipality in which the applicant is qualified to vote not later than the close of the polls; (2) it is returned by the applicant in person to the clerk by the day before a regular election, special election or primary or prior to the opening of the polls on the day of a referendum; (3) it is returned by a designee of an ill or physically disabled ballot applicant, in person, to said clerk not later than the close of the polls on the day of the election, primary or referendum; (4) it is returned by a member of the immediate family of the absentee voter, in person, to said clerk not later than the close of the polls on the day of the election, primary or referendum; (5) in the case of a presidential or overseas ballot, it is mailed or otherwise returned pursuant to the provisions of section 9-158g; or (6) it is returned with the proper identification as required by the Help America Vote Act, P.L. 107-252, as amended from time to time, if applicable, inserted in the outer envelope so such identification can be viewed without opening the inner envelope. A person returning an absentee ballot to the municipal clerk pursuant to subdivision (3) or (4) of this subsection shall present identification and, on the outer envelope of the absentee ballot, sign his name in the presence of the municipal clerk, and indicate his address, his relationship to the voter or his position, and the date and time of such return. As used in this section, “immediate family” means a dependent relative who resides in the individual's household or any spouse, child or parent of the individual.(Sec. 9-140b)",Same,,
