"id","__typename","createdAt","dateType","edRelation","laws","name","registrationDeadlineType","time","updatedAt","updater"
"c7305a24-e481-4ff2-986b-b22e9e8d7a79","State","2022-01-23T09:52:40.406Z","Blank","ED - 27","In order to vote in any election for which registration is required, a person must be registered to vote in the jurisdiction of his or her residence no later than 5:00 p.m., or the normal closing time of any public building where the registration is being held if such time is later than 5:00 p.m., on the fourth Wednesday prior to the election, unless the voter is an interstate former resident, an intrastate new resident, a new resident, or a covered voter, as defined in section 115.275 (115.135)","Missouri","Domestic Registration Deadline","5:00 PM","2022-01-23T09:52:40.406Z",""
"d1198dc7-9c25-462c-97ce-01c0b65eba7c","State","2022-01-23T09:52:40.688Z","Received by","ED","A. A military-overseas ballot shall be considered timely if it is received by the appropriate clerk no later than the closing of the polls on election day.(1-6B-8)A.","NewMexico","Overseas Ballot Return Deadline","7:00 PM","2022-01-23T09:52:40.688Z",""
"133e424a-d59b-4128-b332-8716bbc5384b","State","2022-01-23T09:52:39.292Z","Request for email,online or fax ballot by","ED","","Florida","Overseas Ballot Request Deadline","","2022-01-23T09:52:39.292Z",""
"264f1cec-fb88-4433-8a0d-0daae90f9beb","State","2022-01-23T09:52:40.179Z","Postmarked by","ED - 20","Mailed affidavits of registration postmarked before midnight on the final day to register for an election shall be effective for such election, as provided in section forty-two G.(Section 26)","Massachusetts","Domestic Registration Deadline","","2022-01-23T09:52:40.179Z",""
"cd5805bc-f450-4d02-9a92-b0296156cfd6","State","2022-01-23T09:52:41.195Z","Blank","ED - 11","","Texas","Domestic Ballot Request Deadline","","2022-01-23T09:52:41.195Z",""
"84553d81-231a-414f-925b-f3fe48e36c39","State","2022-01-23T09:52:39.609Z","In-Person Request by","ED - 1","(2) Noon on the day before election day if the voter: (A) completes the application in the office of the circuit court clerk under IC 3-11-10-26; or (B) is an absent uniformed services voter or overseas voter who requests that the ballot be transmitted by electronic mail or fax under section 6(h) of this chapter.(IC 3-11-4-3)","Indiana","Domestic Ballot Request Deadline","12:00 PM","2022-01-23T09:52:39.609Z",""
"f9d57e38-04e0-44c8-9a61-732b07e34c0f","State","2022-01-23T09:52:41.039Z","Blank","ED","","RhodeIsland","Domestic Ballot Return Deadline","8:00 PM","2022-01-23T09:52:41.039Z",""
"cb231258-a095-4110-9df8-dff7fbb25e45","State","2022-01-23T09:52:39.359Z","Blank","5th Monday before ED","(a)  If any person whose name is not on the list of registered electors maintained by the Secretary of State under this article desires to vote at any general primary, general election, or presidential preference primary, such person shall make application as provided in this article by the close of business on the fifth Monday or, if such Monday is a legal holiday, by the close of business on the following business day prior to the date of such general primary, general election, or presidential preference primary.(21-2-224)","Georgia","Domestic Registration Deadline","","2022-01-23T09:52:39.359Z",""
"780ee562-7e6e-4f1f-bd4f-db7b28354d2f","State","2022-01-23T09:52:39.599Z","Blank","Friday before ED","'-(1) Those counties that utilize absentee voting facilities that have access to the Idaho statewide voter registration system and count ballots at a central location or utilize a polling location based tabulation system may elect to conduct ""early voting"" according to the provisions of this section. For those counties that elect to do ""early voting,"" early voting shall begin on or before the third Monday before the election and end at 5:00 p.m. on the Friday before the election. Primary election ballots shall be issued pursuant to section 34-1002(2), Idaho Code.(34-1012)","Idaho","Early Voting To","5:00 PM","2022-01-23T09:52:39.599Z",""
"a11693dc-9ccb-4302-bce4-0ab4c5e174ee","State","2022-01-23T09:52:40.010Z","Contact Local Election Office","","","Maine","Early Voting To","","2022-01-23T09:52:40.010Z",""
"7a088df8-7fe3-4c23-8fe6-d13b82299ab4","State","2022-01-23T09:52:38.915Z","Blank","ED - 15","(a) (1) (A) Except as provided in subdivision (a)(1)(B) of this section, early voting shall be available to any qualified elector who applies to the county clerk's designated early voting location, beginning fifteen (15) days before a preferential primary or general election between the hours of 8:00 a.m. and 6:00 p.m. Monday through Friday and 10:00 a.m. and 4:00 p.m. Saturday and ending at 5:00 p.m. on the Monday before the election (7-5-418)","Arkansas","Early Voting From","8:00 AM","2022-01-23T09:52:38.915Z",""
"c3d7bcd3-8ce6-4b87-b9e4-30953e819e43","State","2022-01-23T09:52:40.009Z","Fax by","ED","","Maine","Overseas Ballot Return Deadline","","2022-01-23T09:52:40.009Z",""
"07cfc807-660f-4a29-aed2-da4ff7fd0a63","State","2022-01-23T09:52:39.744Z","Blank","ED - 29","Sec. 11. A person desiring to register or transfer a registration may do so at the office of the circuit court clerk or board of registration through the close of business on the twenty-ninth day before the election is scheduled to occur.(C 3-7-13-12)","Indiana","Domestic Registration Deadline","","2022-01-23T09:52:39.744Z",""
"10da8e70-8ce9-4ff0-985c-53a202bceaee","State","2022-01-23T09:52:41.274Z","In-Person Request by","ED - 3","","Virginia","Domestic Ballot Request Deadline","5:00 PM","2022-01-23T09:52:41.274Z",""
"5041fbb5-513f-4f65-b2b4-c49bbdcfe21f","State","2022-01-23T09:52:41.183Z","Received by","ED","","Tennessee","Overseas Ballot Return Deadline","","2022-01-23T09:52:41.183Z",""
"43c38898-915f-4bd4-9da5-5e0be70ce7d2","State","2022-01-23T09:52:38.805Z","Online by","ED - 30","","Alaska","Domestic Registration Deadline","","2022-01-23T09:52:38.805Z",""
"bbc7e592-447d-4dcb-858f-b1ac321d5f4c","State","2022-01-23T09:52:39.793Z","Received by","ED - 21","","Kansas","Overseas Registration Deadline","","2022-01-23T09:52:39.793Z",""
"11787291-5c21-4394-a500-a2560daf0293","State","2022-01-23T09:52:39.368Z","Chatham County Only by","5th Monday before ED","","Georgia","Domestic Registration Deadline","","2022-01-23T09:52:39.368Z",""
"38017bbf-a6e5-410a-8ecb-617dd353edaf","State","2022-01-23T09:52:39.131Z","Request for Postal Ballot by","ED - 4","","Delaware","Domestic Ballot Request Deadline","","2022-01-23T09:52:39.131Z",""
"c8d9c875-8b94-4d8a-afd2-020649210ea7","State","2022-01-23T09:52:39.610Z","Request for Postal Ballot by","ED - 12","","Indiana","Military Ballot Request Deadline","","2022-01-23T09:52:39.610Z",""
"bae493d1-a851-4fc7-ab9d-ff9c425113c9","State","2022-01-23T09:52:38.953Z","In-Person by","ED","An elector may timely register to vote by (V)Appearing in-person at a voter service and polling center pursuant to section 1-2-217.7 at any time during which the voter service and polling center is open, including on election day. (1-2-201)","Colorado","Domestic Registration Deadline","7:00 PM","2022-01-23T09:52:38.953Z",""
"4f4b4556-2474-48c7-9d00-f55cee2e0889","State","2022-01-23T09:52:38.779Z","Postmarked by","ED","e) An absentee ballot must be marked on or before the date of the election.","Alaska","Domestic Ballot Return Deadline","","2022-01-23T09:52:38.779Z",""
"5dd73ec9-854d-4145-a594-7010eeb0eb48","State","2022-01-23T09:52:39.115Z","Fax by","ED","(b) A municipal clerk may transmit an application to a person under this subsection by facsimile machine or other electronic means, if so requested by the applicant. If a municipal clerk has a facsimile machine or other electronic means, an applicant may return a completed application to the clerk by such a machine or device, provided the applicant shall also mail the original of the completed application to the clerk, either separately or with the absentee ballot that is issued to the applicant. If the clerk does not receive such original application by the close of the polls on the day of the election, primary or referendum, the absentee ballot shall not be counted.(Sec. 9-140)","Connecticut","Domestic Ballot Return Deadline","","2022-01-23T09:52:39.115Z",""
"3455d4b6-73a4-45d6-9bb8-78432e1ff664","State","2022-01-23T09:52:41.057Z","Received by","ED - 7","'-(d)  An application for an absentee ballot under this section shall be treated as an application for temporary registration if the applicant is not already a registered voter where such applicant applies to vote. (2-6-502)","Tennessee","Overseas Registration Deadline","","2022-01-23T09:52:41.057Z",""
"a458f842-5c6d-4b4e-8657-376e6d907789","State","2022-01-23T09:52:40.393Z","Postmarked by","ED - 27","","Missouri","Domestic Registration Deadline","","2022-01-23T09:52:40.393Z",""
"33ee952b-8b1d-443f-9358-f616fe278e6e","State","2022-01-23T09:52:40.935Z","Received by","ED","","Oregon","Overseas Ballot Return Deadline","8:00 PM","2022-01-23T09:52:40.935Z",""
"57a6f577-53cb-4d77-ab1c-1f0b0d855859","State","2022-01-23T09:52:39.127Z","Request for Email, Online or Fax Ballot by","ED - 1","","Delaware","Domestic Ballot Request Deadline","12:00 PM","2022-01-23T09:52:39.127Z",""
"b90133cb-b5e4-4ade-ba0c-1602cff1f956","State","2022-01-23T09:52:39.125Z","Blank","4th Saturday before ED","The last date to register to vote for any presidential primary, primary and general election shall be the fourth Saturday prior to the date of the election.(2036)","Delaware","Domestic Registration Deadline","","2022-01-23T09:52:39.125Z",""
"a028ba6c-bc37-4801-bd51-4c7675ca0660","State","2022-01-23T09:52:39.599Z","Blank","ED - 4","","Idaho","In-Person Absentee Voting To","5:00 PM","2022-01-23T09:52:39.599Z",""
"2120ca7d-f736-45e8-affe-ea30bf97510b","State","2022-01-23T09:52:40.387Z","Received by","ED","e) There shall be no limitation of time for filing and receiving applications for ballots under sections 203B.16 to 203B.27.(203B.17)","Minnesota","Overseas Ballot Request Deadline","","2022-01-23T09:52:40.387Z",""
"0d3feb36-938e-404a-84df-e21732271e03","State","2022-01-23T09:52:39.245Z","Blank","ED - 10","","Florida","Domestic Ballot Request Deadline","5:00 PM","2022-01-23T09:52:39.245Z",""
"e8227741-346d-44da-97c2-cc0e4059909b","State","2022-01-23T09:52:40.675Z","In-Person received by","ED","","Nevada","Overseas Ballot Return Deadline","","2022-01-23T09:52:40.675Z",""
"ba42860a-b689-43d9-8e86-b17aacec2ceb","State","2022-01-23T09:52:39.171Z","Received by","ED","","Delaware","Overseas Ballot Return Deadline","8:00 PM","2022-01-23T09:52:39.171Z",""
"aeb77485-d64a-48a9-abe3-d12e838dd57b","State","2022-01-23T09:52:39.611Z","Postmarked by","ED","","Indiana","Military Ballot Return Deadline","","2022-01-23T09:52:39.611Z",""
"2680aed6-5df3-426a-8e40-df919fdf4554","State","2022-01-23T09:52:40.000Z","Postmarked by","ED - 30","(1) Mail voter registration applications returned through the United States Postal Service shall be deemed to have been made as of the date of the postmark affixed to such application by the United States Postal Service, or if no such postmark is affixed or if the postmark affixed by the United States Postal Service is illegible or bears no date, such application shall be deemed to have been made timely if received through the United States mail by the registrar of voters no later than the close of business on the thirtieth day prior to an election.(§115.)","Louisiana","Domestic Registration Deadline","","2022-01-23T09:52:40.000Z",""
"4e528ec6-309a-4660-944f-327bc22f6925","State","2022-01-23T09:52:40.681Z","Blank","ED - 17","1.  The period for early voting by personal appearance begins the third Saturday preceding a primary or general election and extends through the Friday before election day, Sundays and federal holidays excepted.(293.3568(","Nevada","Early Voting From","","2022-01-23T09:52:40.681Z",""
"9c04b046-d804-43ff-8d21-730bf218d623","State","2022-01-23T09:52:40.006Z","Postmarked by","ED - 7","","Maine","Domestic Ballot Return Deadline","","2022-01-23T09:52:40.006Z",""
"dc183bef-b890-4ca5-8120-66a40852fac9","State","2022-01-23T09:52:38.891Z","Received by","ED","'-A. An overseas voter as defined in the uniformed and overseas citizens absentee voting act of 1986 (P.L. 99-410; 42 United States Code section 1973ff-6), as amended by the Ronald W. Reagan national defense authorization act for fiscal year 2005 (P.L. 108-375), who is absent from the place of residence in this state where the voter is otherwise qualified to vote may use a federal write-in early ballot in a primary, general or special election for the offices of presidential elector and United States senator and representative in Congress if the voter applies for an early ballot by 7:00 p.m. on election day and does not receive that early ballot.(16-543.02)","Arizona","Overseas Ballot Request Deadline","7:00 PM","2022-01-23T09:52:38.891Z",""
"c3c608b2-bc4e-4e24-8336-a8c3e158bfac","State","2022-01-23T09:52:40.683Z","Blank","ED - 21","Any person qualified to vote in an election shall be entitled to vote in the election if the person shall have registered to vote on or before the 21st day preceding the election (19:31-6.)","NewJersey","Domestic Registration Deadline","","2022-01-23T09:52:40.683Z",""
"c1e6528c-26a4-4553-be14-9471429e5ff8","State","2022-01-23T09:52:41.272Z","Received by","ED - 10","","Guam","Military Registration Deadline","8:00 PM","2022-01-23T09:52:41.272Z",""
"c5d4ab80-2722-4b8d-bec7-9bfd7e252498","State","2022-01-23T09:52:39.598Z","Received by","ED","(a) The return envelope shall be:
(1) Mailed and must be received by the clerk issuing the absentee ballot not later than the closing of the polls on any election day;","Hawaii","Domestic Ballot Return Deadline","7:00 PM","2022-01-23T09:52:39.598Z",""
"1ff2c2f9-8603-4f12-8020-27371ce491f1","State","2022-01-23T09:52:41.034Z","Blank","ED - 30","","RhodeIsland","Domestic Registration Deadline","","2022-01-23T09:52:41.034Z",""
"0415345b-3404-42f4-b50d-fbe81cc097bd","State","2022-01-23T09:52:40.713Z","Post Received by","ED + 7 (PE)","1. The  board  of  elections  shall  cause  all  military ballots received by it before the close of the polls on election day and all  ballots  contained  in envelopes showing a cancellation mark of the United States postal service or a foreign country's postal  service,  or showing  a  dated endorsement of receipt by another agency of the United States government or are signed and dated by the voter and  one  witness thereto,  with  a date which is ascertained to be not later than the day before election and received by such board of elections not  later  than seven  days  following  the day of a primary election and not later thanthirteen days following the day of a general or special election  to  be cast and counted.( 10-114)","NewYork","Overseas Ballot Return Deadline","","2022-01-23T09:52:40.713Z",""
"dd67cd7a-2ee2-492c-84a8-363a27f21bdb","State","2022-01-23T09:52:39.598Z","Varies by Locality","","","Idaho","In-Person Absentee Voting From","","2022-01-23T09:52:39.598Z",""
"b1c88f76-b12c-48f3-8e7b-6768671b70fd","State","2022-01-23T09:52:41.245Z","Received by","ED - 30","","AmericanSamoa","Overseas Registration Deadline","4:30 PM","2022-01-23T09:52:41.245Z",""
"3ab5cd69-2595-4c56-bc77-338626336342","State","2022-01-23T09:52:40.701Z","Post Received by","ED + 7","Absentee  ballots;  deadline  for  receipt, and delivery to polling place. 1. The  board  of  elections  shall  cause  all  absentee ballots received by it before the close of the polls on election day and all  ballots  contained  in envelope showing a cancellation mark of the United States postal service or a foreign country's postal  service,  or showing  a  dated endorsement of receipt by another agency of the United States government, with a date which is ascertained to be not later than the day before election and received by  such  board  of  elections  not later  than  seven  days  following  the  day of election to be cast and counted except that the absentee ballot of a voter  who  requested  such ballot by letter, rather than application, shall not be counted unless a valid  application  form, signed by such voter, is received by the board of elections with such ballot. ( 8-412. )","NewYork","Domestic Ballot Return Deadline","","2022-01-23T09:52:40.701Z",""
"53c53197-cf07-4893-9490-030688f02202","State","2022-01-23T09:52:39.793Z","Received by","ED - 14","(a) A qualified voter may apply to cast his or her vote by mail-in absentee ballot if the application is received not later than the close of business hours seven (7) days before the election.(117.085)","Kentucky","Domestic Ballot Request Deadline","","2022-01-23T09:52:39.793Z",""
"3f3fa71f-0179-4437-8d65-592d61974f38","State","2022-01-23T09:52:41.281Z","Post Received by","ED + 3","","Virginia","Military Ballot Return Deadline","12:00 PM","2022-01-23T09:52:41.281Z",""
"8679602c-0971-4257-bf26-196742b4d3b1","State","2022-01-23T09:52:41.254Z","Election Day Registration and Voting","ED","","Wyoming","Domestic Registration Deadline","","2022-01-23T09:52:41.254Z",""
"55910cef-ce0a-4fc4-abae-27154dbcabe9","State","2022-01-23T09:52:41.038Z","Postmarked by","ED - 30","","SouthCarolina","Domestic Registration Deadline","","2022-01-23T09:52:41.038Z",""
"741da369-4804-4d5a-8606-ce806ea734bb","State","2022-01-23T09:52:40.886Z","Blank","ED - 5","","Oregon","Domestic Ballot Request Deadline","","2022-01-23T09:52:40.886Z",""
"de9b020b-d8ed-4364-8b59-6c0eaebd26ef","State","2022-01-23T09:52:41.142Z","Blank","ED - 45","is generally -44 but can vary for special elections RECOMMEND VERIFYING THIS IF POSSIBLE","Virginia","In-Person Absentee Voting From","","2022-01-23T09:52:41.142Z",""
"ddba93d6-9086-4754-aed7-2978dd7f6fc3","State","2022-01-23T09:52:39.251Z","Dates Vary: contact LEO","ED - 3","","Florida","Early Voting To","","2022-01-23T09:52:39.251Z",""
"01f85c4c-8ba2-4c84-aa7f-55462436361b","State","2022-01-23T09:52:39.238Z","Email or Fax by","ED - 21","(3) The Board shall process faxed postcard applications from persons eligible to vote absentee in federal elections in the District of Columbia pursuant to the Uniformed and Overseas Citizens Absentee Voting Act, approved August 28, 1966 (100 Stat. 924; 42 U.S.C. § 1973ff et seq.), which are faxed not later than the 21st day preceding any election.( 1–1001.07)","DistrictofColumbia","Overseas Registration Deadline","","2022-01-23T09:52:39.238Z",""
"75ff8351-7412-4766-b9ae-78963e1fd743","State","2022-01-23T09:52:40.185Z","Email,Online,Fax by","ED","","Massachusetts","Overseas Ballot Return Deadline","8:00 PM","2022-01-23T09:52:40.185Z",""
"917d57a9-df6a-467b-b8fb-a80642be6842","State","2022-01-23T09:52:40.017Z","Received by","ED + 10","
(i)  is received by mail by a local board no later than 10 a.m. on the second Friday after a special election; and
(ii)  was mailed on or before election day, as verified:
         1. by a postmark; or 2.  if the return envelope does not contain a postmark or the postmark is illegible, by the voter's affidavit that the ballot was mailed on or before election day.((§ 9-505))","Maryland","Domestic Ballot Return Deadline","10:00 AM","2022-01-23T09:52:40.017Z",""
"4c165f25-4ebf-4155-86ac-208d6b67c6c1","State","2022-01-23T09:52:40.693Z","Postmarked by","ED - 28","","NewMexico","Domestic Registration Deadline","","2022-01-23T09:52:40.693Z",""
